id	tier	status	severity	issue	pr	round	title
B-238	4	READY	LOW			25	Prenatal ultrasound: opening the execution-date calendar and closing it without picking a day counts the form 6/6 and en
B-239	3	IMPLEMENTED	MED-HIGH			25	Prenatal recurrent labs: the Partner HIV follow-up form has no Save button, so the answers can never be recorded and the
B-240	3	READY	MED			25	Prenatal recurrent labs: an operator-precedence slip makes a **positive** lab HIV result suppress the HIV follow-up, so 
B-241	3	READY	MED			25	Prenatal recurrent Next Steps: choosing a hypertension treatment other than the recommended one raises an unanswerable q
B-242	2	IMPLEMENTED	HIGH	2153	2154	25	Dashboard ANC: the "Current Pregnancies" filter has its date operands swapped, so it counts only pregnancies registered 
B-243	3	IMPLEMENTED	MED-HIGH			25	Dashboard nutrition: individual Nutrition encounters send weight-for-age under the stunting key, so the "# of Stunting" 
B-244	2	IMPLEMENTED		2151	2152	25	✅ IMPLEMENTED 2026-08-26 (issue #2151, PR #2152, branch `b244-person-edit-wipes-photo`, base develop @99093f9e4, commit 
B-245	3	READY	MED-HIGH			25	Statistical Queries: 15 prenatal diagnoses are missing from the report mapping, so encounters carrying only those are co
B-246	3	READY	MED			25	Completion report: its query filters on publication status instead of the soft-delete flag, so encounters an administrat
B-247	3	IMPLEMENTED	MED-HIGH			25	Nutrition report: the Elm half throws away edema on well-child encounters, so the same child is SAM at district scope an
B-248	3	READY	MED			25	Stats simpletest: three scenarios — including the B-032 and B-033 soft-delete regression tests — have exited early witho
B-249	3	READY	MED			25	Dashboard family planning: the donut buckets each record by the date it was uploaded, not the date it was measured
B-250	3	READY	MED			25	Dashboard stats: soft-deleted people still appear in case management, beneficiaries and attendance, so a merged-away dup
B-251	3	READY	MED			25	Progress-report lab pane: urine-dipstick rows are built from an unfiltered list, so a long-only test also renders a phan
B-252	4	READY	LOW			25	NCD progress report: the Partner HIV lab row ignores its own display flag, so every NCD report shows a permanently blank
B-253	4	IMPLEMENTED	LOW			25	Pregnancy Outcome page reads an arbitrary encounter instead of the latest, so Gravida and Para can render as `----`
B-254	4	READY	LOW			25	Prenatal participant page picks an arbitrary pregnancy when a person has two active ones, so encounters can land on the 
B-255	4	READY	LOW			25	CHW progress report: the breech/transverse alert re-grades a stale exam against TODAY's gestational age, so a normal EGA
B-256	4	READY	MED-LOW			25	Well-child registration: a birth date exactly 13 years back is offered, and then the form demands two fields it never re
B-257	4	READY	LOW			25	Duplicate-patient lookup is triggered by any text field over 13 characters and sized to Rwanda's ID, so the duplicate wa
B-258	4	READY	LOW			25	Person edit page never fetches relationships, so after a page reload an address change silently skips the children
B-259	4	READY	LOW			25	A freshly opened person form greets the nurse with "Person has been saved"
B-260	4	READY	LOW			25	Strict decoders on optional stats values: two dashboard enum sites lack the fallback their siblings have, and one requir
B-261	4	READY	LOW			25	Dashboard case-management table: columns are sorted by bare month number, so they come out of order when the stats month
B-262	4	READY	LOW			25	Person-counting cards that count participants or measurements instead of people (three siblings, one family)
B-263	4	READY	LOW			25	Dashboard's copy of the vaccination-progress builder drops DTP-standalone after a fourth dose date, so the Burundi immun
B-264	4	READY	MED-LOW			25	Dashboard monthly charts divide a case-management numerator by a beneficiaries denominator from a different population
B-265	4	READY	LOW			25	Reports recalculation ignores session and clinic edits, so a corrected session date or a re-categorised group leaves eve
B-266	3	READY	MED			25	WhatsApp uploads carry no UUID, so the sync POST's duplicate guard cannot fire and a retried batch sends the patient the
B-267	4	READY	LOW			25	Three latent traps in the RESTful writable contract, all unreachable today
B-268	3	READY	MED			25	Prenatal progress report (Healthy Start): the weight-gain chart classifies from the self-reported pre-pregnancy weight i
B-269	3	READY	MED			25	`HedleyRestfulBulkPhotosTest` has never run: it declares the group `Hedley restful` while the test job runs the group `H
B-270	4	READY	LOW			25	Child progress report ECD pane: when two Well Child encounters fall in the same pediatric-care milestone window, the one
B-271	4	READY	LOW			25	Vaccination progress: when two encounters record the same dose with different dates, which date wins depends on an arbit
B-272	3	READY	MED-LOW			26	Well Child vitals: the "previous" respiratory rate and temperature shown beside the inputs are the child's OLDEST readin
B-273	4	READY	LOW			26	Newborn Exam Pregnancy Summary: re-editing a record saved as "no complications" / "no defects", switching to Yes and sav
B-274	3	READY	MED-LOW			26	Acute Illness medication distribution: after a reload, switching a medicine from "not given (out of stock / allergy)" to
B-275	4	READY	LOW			26	Acute Illness subsequent visit: a positive-and-pregnant malaria RDT is not treated as "malaria diagnosed at this encount
B-276	4	READY	LOW			26	Acute Illness malaria RDT edit: changing a saved non-positive result to Positive pre-answers "Currently pregnant?" as No
B-277	3	READY	MED			26	Well Child immunisation (Burundi): the DTP-booster Save handler reads the DTP primary-series form, so what the nurse ent
B-278	4	READY	LOW			26	Well Child head circumference: correcting a reading that triggered the macro/microcephaly popup leaves the warning on th
B-279	4	READY	LOW			26	Well Child head circumference "not taken" checkbox toggles the raw form, so after a reload the first click on a saved no
B-280	3	READY	MED-LOW			26	Acute Illness subsequent visit: a diagnosis once written to the encounter is never corrected, even when the RDT or dange
B-281	4	READY	LOW			26	Shared Yes/No-with-reason forms: flipping the answer back to Yes persists the stale "why not" reason alongside it, in th
B-282	4	READY	LOW			26	Acute Illness participant page: with two illnesses started today, whether "New illness" is disabled, opens the existing 
B-283	4	READY	LOW			26	NCDA questionnaire (Child Scoreboard, Nutrition, Well Child): after a reload, switching a parent question to "No" keeps 
B-284	4	READY	LOW			26	TB and HIV "not diagnosed": the participant is closed but the encounter is never ended, so every screening that finds no
B-285	3	READY	MED-LOW			26	TB/HIV follow-up medication task: the "still taking the prescribed medications?" question shows Kirundi text to every us
B-286	3	READY	MED			26	NCD hypertension staging compares against the encounter's OWN just-written stage: a Stage-3 patient with one low reading
B-287	3	READY	MED-LOW			26	NCD labs Case Management entry is closed by the final lab result BEFORE that result's diagnosis exists, so the Next Step
B-288	3	READY	MED			26	NCD: diabetes found from a point-of-care blood-sugar reading at the initial phase gets no medication or referral task, b
B-289	3	READY	MED			26	NCD: a pregnancy found by test at the first encounter is forgotten at every later encounter — the full antihypertensive 
B-290	3	IMPLEMENTED	MED			26	NCD Social History: the drinks-per-week answer is never saved — the encoder writes the cigarettes count into the `bevera
G-01		READY				16	Photo-encoder dispatch guard (CI script)
G-02		READY				16	Elm-version lockstep guard (CI script)
G-03		READY				16	Prune 4 STALE NoDebug.TodoOrToString waivers
G-04		READY				16	E2E spec-partition guard (CI script)
G-05		READY				16	Tier-1 clinical-translation guard (CI script + curated list)
G-06		READY				16	Custom elm-review rule: NoMultiSelectWithoutSentinel
G-07		READY				16	Alphabetical-ordering RATCHET (CI script)
TH-00		READY				16	shared gating-assertion helpers in e2e common.ts (FOUNDATION — do first)
TH-01		READY				16	child-scoreboard NCDA "Universal Interventions" negative-path fold-in
TH-02		READY				16	home-visit "Feeding" negative-path fold-in
TH-03		READY				16	family-nutrition "Aheza (Mother)" negative-path fold-in
TH-04		READY				16	nutrition-chw NextSteps "SendToHC" fold-in
TH-05		READY				16	nutrition-nurse NCDA "Infrastructure & Environment" fold-in
TH-06		READY				16	well-child-nurse Immunisation per-vaccine fold-in
TH-07		READY				16	well-child-chw PregnancySummary fold-in
TH-08		READY				16	NCD CoreExam fold-in (B-072 heritage — the exact trap class)
TH-09		READY				16	HIV TreatmentReview fold-in
TH-10		READY				16	Tuberculosis DOT fold-in
TH-11		READY				16	StockManagement ReceiveStock fold-in (nurse + chw)
TH-12		READY				16	Lab-tech prenatal LabResults fold-in
TH-13		READY				16	Prenatal nurse Medical History fold-in (THE B-037 SITE — reference design)
TH-14		READY				16	AcuteIllness `completeSymptoms` conditional-count fold-in (cough duration + intractable vomiting)
TH-15		READY				16	AcuteIllness `completeOngoingTreatment` fold-in (4-question shared treatment review)
TH-16		READY				16	Pin AcuteIllness SUBSEQUENT-encounter diagnosis branch (zero coverage today)
TH-17		READY				16	Pin COVID path edge branches + suspect threshold
TH-18		READY				16	Pin Prenatal emergency-referral aggregation + hypertension-like hierarchy (un-pinned engines)
TH-19		READY				16	Extend Nutrition assessment pins: boundaries + combination markers + over-6mo asymmetry
